,endog,exog
0,0.1094598595603123,control
1,0.3465497318054973,control
2,0.2386191941138258,control
3,-0.1596340613357763,control
4,-0.09465399162483229,control
5,-0.44034073248007977,control
6,-0.9227746050397166,temp
7,0.2673745863221301,temp
8,-0.5762072237320147,temp
9,-0.13522040720198453,temp
10,-0.23485886573885528,temp
11,-0.37536699481787733,temp
12,0.6639065190026703,pH
13,0.8002682950175155,pH
14,0.6548905592894833,pH
15,0.33157192169447014,pH
16,0.6333264914951076,pH
17,0.6005786959836826,pH
18,0.953740892029634,temp + pH
19,0.42958503749641097,temp + pH
20,1.2348780129388555,temp + pH
21,0.23079132614151632,temp + pH
22,0.4992911394858994,temp + pH
23,0.8246208463966611,temp + pH
